P/T (kPa/K),Den (Kg/cu m),Temp (C),Pres (kPa),Alt (m)
1.25543566003813E-05,4.3759E-5,102.488400,4.7153E-3,78160
1.25667441708041E-05,4.3802E-5,102.458500,4.7195E-3,78150
1.25791449519599E-05,4.3845E-5,102.428600,4.7238E-3,78140
1.25915589589906E-05,4.3888E-5,102.398700,4.7281E-3,78130
1.2603986207057E-05,4.3932E-5,102.368800,4.7324E-3,78120
1.26164267113383E-05,4.3975E-5,102.338900,4.7367E-3,78110
1.26288804870325E-05,4.4018E-5,102.309000,4.7410E-3,78100
1.26413475493561E-05,4.4062E-5,102.279100,4.7453E-3,78090
1.26538279135443E-05,4.4105E-5,102.249200,4.7496E-3,78080
1.26663215948509E-05,4.4149E-5,102.219300,4.7539E-3,78070
1.26788286085485E-05,4.4193E-5,102.189400,4.7582E-3,78060
1.26913489699285E-05,4.4236E-5,102.159500,4.7625E-3,78050
1.27038826943009E-05,4.4280E-5,102.129600,4.7669E-3,78040
1.27164297969947E-05,4.4324E-5,102.099700,4.7712E-3,78030
1.27289902933574E-05,4.4367E-5,102.069800,4.7755E-3,78020
1.27415641987556E-05,4.4411E-5,102.039900,4.7799E-3,78010
1.27541515285746E-05,4.4455E-5,102.010000,4.7842E-3,78000
1.27667522982187E-05,4.4499E-5,101.980100,4.7886E-3,77990
1.2779366523111E-05,4.4543E-5,101.950200,4.7929E-3,77980
1.27919942186936E-05,4.4587E-5,101.920300,4.7973E-3,77970
1.28046354004276E-05,4.4631E-5,101.890400,4.8016E-3,77960
1.28172900837928E-05,4.4675E-5,101.860500,4.8060E-3,77950
1.28299582842885E-05,4.4719E-5,101.830600,4.8103E-3,77940
1.28426400174325E-05,4.4763E-5,101.800700,4.8147E-3,77930
1.28553352987621E-05,4.4808E-5,101.770800,4.8191E-3,77920
1.28680441438333E-05,4.4852E-5,101.740900,4.8235E-3,77910
1.28807665682216E-05,4.4896E-5,101.711000,4.8279E-3,77900
1.28935025875212E-05,4.4941E-5,101.681100,4.8322E-3,77890
1.29062522173458E-05,4.4985E-5,101.651200,4.8366E-3,77880
1.29190154733281E-05,4.5030E-5,101.621300,4.8410E-3,77870
1.29317923711201E-05,4.5074E-5,101.591400,4.8454E-3,77860
1.2944582926393E-05,4.5119E-5,101.561500,4.8498E-3,77850
1.29573871548372E-05,4.5163E-5,101.531600,4.8542E-3,77840
1.29702050721624E-05,4.5208E-5,101.501700,4.8587E-3,77830
1.29830366940977E-05,4.5253E-5,101.471800,4.8631E-3,77820
1.29958820363914E-05,4.5298E-5,101.441900,4.8675E-3,77810
1.30087411148112E-05,4.5342E-5,101.412000,4.8719E-3,77800
1.30216139451442E-05,4.5387E-5,101.382100,4.8764E-3,77790
1.30345005431971E-05,4.5432E-5,101.352200,4.8808E-3,77780
1.30474009247955E-05,4.5477E-5,101.322300,4.8852E-3,77770
1.30603151057851E-05,4.5522E-5,101.292400,4.8897E-3,77760
1.30732431020305E-05,4.5567E-5,101.262500,4.8941E-3,77750
1.30861849294163E-05,4.5612E-5,101.232600,4.8986E-3,77740
1.30991406038464E-05,4.5658E-5,101.202700,4.9030E-3,77730
1.31121101412441E-05,4.5703E-5,101.172800,4.9075E-3,77720
1.31250935575527E-05,4.5748E-5,101.142900,4.9120E-3,77710
1.31380908687347E-05,4.5793E-5,101.113000,4.9164E-3,77700
1.31511020907725E-05,4.5839E-5,101.083100,4.9209E-3,77690
1.31641272396681E-05,4.5884E-5,101.053200,4.9254E-3,77680
1.31771663314431E-05,4.5929E-5,101.023300,4.9299E-3,77670
1.31902193821389E-05,4.5975E-5,100.993400,4.9344E-3,77660
1.32032864078166E-05,4.6021E-5,100.963500,4.9389E-3,77650
1.32163674245572E-05,4.6066E-5,100.933600,4.9434E-3,77640
1.32294624484612E-05,4.6112E-5,100.903700,4.9479E-3,77630
1.32425714956492E-05,4.6157E-5,100.873800,4.9524E-3,77620
1.32556945822615E-05,4.6203E-5,100.843900,4.9569E-3,77610
1.32688317244583E-05,4.6249E-5,100.814000,4.9614E-3,77600
1.32819829384198E-05,4.6295E-5,100.784100,4.9659E-3,77590
1.32951482403459E-05,4.6341E-5,100.754200,4.9704E-3,77580
1.33083276464566E-05,4.6387E-5,100.724300,4.9750E-3,77570
1.3321521172992E-05,4.6433E-5,100.694400,4.9795E-3,77560
1.33347288362118E-05,4.6479E-5,100.664500,4.9840E-3,77550
1.33479506523961E-05,4.6525E-5,100.634600,4.9886E-3,77540
1.33611866378449E-05,4.6571E-5,100.604700,4.9931E-3,77530
1.33744368088784E-05,4.6617E-5,100.574800,4.9977E-3,77520
1.33877011818367E-05,4.6663E-5,100.544900,5.0022E-3,77510
1.34009797730803E-05,4.6710E-5,100.515000,5.0068E-3,77500
1.34142725989894E-05,4.6756E-5,100.485100,5.0114E-3,77490
1.3427579675965E-05,4.6802E-5,100.455200,5.0159E-3,77480
1.34409010204279E-05,4.6849E-5,100.425300,5.0205E-3,77470
1.34542366488191E-05,4.6895E-5,100.395400,5.0251E-3,77460
1.34675865776002E-05,4.6942E-5,100.365500,5.0297E-3,77450
1.34809508232527E-05,4.6988E-5,100.335600,5.0343E-3,77440
1.34943294022788E-05,4.7035E-5,100.305700,5.0389E-3,77430
1.35077223312007E-05,4.7082E-5,100.275800,5.0435E-3,77420
1.35211296265612E-05,4.7128E-5,100.245900,5.0481E-3,77410
1.35345513049235E-05,4.7175E-5,100.216000,5.0527E-3,77400
1.3547987382871E-05,4.7222E-5,100.186100,5.0573E-3,77390
1.35614378770077E-05,4.7269E-5,100.156200,5.0619E-3,77380
1.35749028039582E-05,4.7316E-5,100.126300,5.0665E-3,77370
1.35883821803673E-05,4.7363E-5,100.096400,5.0711E-3,77360
1.36018760229007E-05,4.7410E-5,100.066500,5.0758E-3,77350
1.36153843482444E-05,4.7457E-5,100.036600,5.0804E-3,77340
1.36289071731051E-05,4.7504E-5,100.006700,5.0850E-3,77330
1.364244451421E-05,4.7551E-5,99.976800,5.0897E-3,77320
1.36559963883069E-05,4.7598E-5,99.946900,5.0943E-3,77310
1.36695628121647E-05,4.7646E-5,99.917000,5.0990E-3,77300
1.36831438025724E-05,4.7693E-5,99.887100,5.1036E-3,77290
1.36967393763401E-05,4.7740E-5,99.857200,5.1083E-3,77280
1.37103495502985E-05,4.7788E-5,99.827300,5.1130E-3,77270
1.37239743412992E-05,4.7835E-5,99.797400,5.1176E-3,77260
1.37376137662144E-05,4.7883E-5,99.767500,5.1223E-3,77250
1.37512678419374E-05,4.7931E-5,99.737600,5.1270E-3,77240
1.37649365853821E-05,4.7978E-5,99.707700,5.1317E-3,77230
1.37786200134835E-05,4.8026E-5,99.677800,5.1364E-3,77220
1.37923181431972E-05,4.8074E-5,99.647900,5.1411E-3,77210
1.38060309915002E-05,4.8121E-5,99.618000,5.1458E-3,77200
1.38197585753901E-05,4.8169E-5,99.588100,5.1505E-3,77190
1.38335009118857E-05,4.8217E-5,99.558200,5.1552E-3,77180
1.38472580180265E-05,4.8265E-5,99.528300,5.1599E-3,77170
1.38610299108736E-05,4.8313E-5,99.498400,5.1646E-3,77160
1.38748166075087E-05,4.8361E-5,99.468500,5.1693E-3,77150
1.38886181250348E-05,4.8409E-5,99.438600,5.1740E-3,77140
1.39024344805761E-05,4.8457E-5,99.408700,5.1788E-3,77130
1.39162656912777E-05,4.8506E-5,99.378800,5.1835E-3,77120
1.39301117743062E-05,4.8554E-5,99.348900,5.1883E-3,77110
1.39439727468492E-05,4.8602E-5,99.319000,5.1930E-3,77100
1.39578486261157E-05,4.8651E-5,99.289100,5.1978E-3,77090
1.39717394293358E-05,4.8699E-5,99.259200,5.2025E-3,77080
1.39856451737611E-05,4.8747E-5,99.229300,5.2073E-3,77070
1.39995658766643E-05,4.8796E-5,99.199400,5.2120E-3,77060
1.40135015553398E-05,4.8845E-5,99.169500,5.2168E-3,77050
1.4027452227103E-05,4.8893E-5,99.139600,5.2216E-3,77040
1.40414179092909E-05,4.8942E-5,99.109700,5.2264E-3,77030
